,high,low,open,close,volume,neg,neu,pos,compound,Daily References
2021-01-06,267.75,260.010009765625,262.0,263.30999755859375,24354100,0.12719999999999998,0.8058499999999998,0.06695,-0.13889999999999997,20
2021-01-07,271.6099853515625,264.7799987792969,265.8999938964844,268.739990234375,15789800,0.11561111111111111,0.8529444444444444,0.03144444444444444,-0.1521888888888889,36
2021-01-08,268.95001220703125,263.17999267578125,268.30999755859375,267.57000732421875,18528300,0.07284615384615385,0.8336538461538461,0.0935,0.022353846153846165,26
2021-01-12,259.7200012207031,250.3000030517578,256.6300048828125,251.08999633789062,26383500,0.039714285714285716,0.9079999999999999,0.05228571428571429,0.027366666666666668,21
2021-01-13,253.9499969482422,249.1999969482422,251.5500030517578,251.63999938964844,19528900,0.10357894736842103,0.8083684210526316,0.08805263157894737,-0.023521052631578977,19
2021-01-14,255.02999877929688,244.61000061035156,253.39999389648438,245.63999938964844,29739400,0.07214285714285715,0.9166428571428572,0.011214285714285715,-0.12301428571428571,14
2021-01-15,253.86000061035156,247.16000366210938,247.89999389648438,251.36000061035156,24942900,0.16910000000000003,0.8131999999999999,0.0178,-0.21197,10
2021-01-19,262.20001220703125,252.72000122070312,256.8999938964844,261.1000061035156,28028500,0.0648,0.8732,0.062,-0.0368,5
2021-01-20,270.32000732421875,263.6000061035156,268.92999267578125,267.4800109863281,25199900,0.0224,0.8987,0.0789,0.09154999999999999,10
2021-01-21,273.6000061035156,267.489990234375,269.260009765625,272.8699951171875,20838700,0.11191304347826087,0.8802608695652173,0.007826086956521738,-0.19246521739130432,23
2021-01-22,278.4700012207031,272.0,272.010009765625,274.5,21954000,0.041125,0.8988125,0.060062500000000005,0.035231250000000006,16
2021-01-25,280.1000061035156,271.510009765625,278.1400146484375,278.010009765625,19087000,0.06627586206896552,0.8658620689655171,0.06786206896551725,0.017862068965517237,29
2021-01-26,285.3900146484375,277.80999755859375,278.1400146484375,282.04998779296875,19373600,0.04977777777777778,0.8751111111111111,0.07511111111111111,0.057422222222222215,9
2021-01-27,283.45001220703125,268.1199951171875,282.5299987792969,272.1400146484375,35346200,0.08751515151515153,0.8147272727272727,0.09775757575757577,0.015657575757575756,33
2021-01-28,286.7900085449219,264.70001220703125,277.17999267578125,265.0,37758800,0.08775,0.8430833333333334,0.06916666666666667,-0.04537708333333331,48
2021-01-29,266.55999755859375,254.85000610351562,265.29998779296875,258.3299865722656,30389500,0.051666666666666666,0.8488333333333333,0.09949999999999999,0.04873333333333333,12
2021-02-01,264.1700134277344,254.91000366210938,259.5199890136719,262.010009765625,22914300,0.0165,0.8911250000000001,0.09237500000000001,0.10246249999999998,16
2021-02-02,268.8500061035156,263.2699890136719,264.0,267.0799865722656,17320800,0.1338,0.7707333333333332,0.09546666666666666,-0.0903,15
2021-02-03,269.20001220703125,263.8399963378906,265.6199951171875,266.6499938964844,14223400,0.026777777777777775,0.8733333333333333,0.09988888888888889,0.14316666666666666,9
2021-02-04,268.1600036621094,264.0,267.010009765625,266.489990234375,16060000,0.12443478260869566,0.8293478260869565,0.046217391304347835,-0.1411304347826087,23
2021-02-05,269.1700134277344,265.6700134277344,266.79998779296875,268.1000061035156,12454400,0.06684615384615385,0.8511538461538461,0.082,0.022107692307692307,13
2021-02-08,269.8599853515625,265.0,268.75,266.5799865722656,13755200,0.10145454545454546,0.7896363636363636,0.1089090909090909,0.026918181818181817,11
2021-02-09,273.3900146484375,265.75,266.44000244140625,269.45001220703125,14613400,0.04672727272727273,0.8434545454545455,0.10981818181818181,0.08226363636363637,11
2021-02-10,273.79998779296875,267.7200012207031,272.45001220703125,271.8699951171875,14687200,0.049874999999999996,0.8798125000000001,0.070375,0.039643750000000005,16
2021-02-11,273.5799865722656,268.489990234375,271.8900146484375,270.3900146484375,12828600,0.087,0.8756428571428571,0.03728571428571429,-0.08355714285714286,14
2021-02-12,271.17999267578125,268.3399963378906,270.5199890136719,270.5,9097600,0.03626666666666666,0.8951999999999999,0.06853333333333333,0.05411333333333334,15
2021-02-16,276.6000061035156,270.04998779296875,270.79998779296875,273.9700012207031,15417200,0.135,0.6699999999999999,0.195,0.045400000000000024,2
2021-02-18,271.95001220703125,266.0299987792969,269.57000732421875,269.3900146484375,15249100,0.12851162790697673,0.8099069767441861,0.06158139534883722,-0.13834883720930236,43
2021-02-19,270.2699890136719,260.1499938964844,269.8599853515625,261.55999755859375,25622600,0.08231578947368422,0.8134736842105263,0.10426315789473684,0.02304736842105264,19
2021-02-22,263.07000732421875,257.5299987792969,257.95001220703125,260.3299865722656,17434900,0.09253846153846154,0.8551538461538463,0.05230769230769231,-0.07745384615384615,13
2021-02-23,267.4599914550781,254.9600067138672,259.5,265.8599853515625,21924600,0.04923999999999999,0.87188,0.07888,0.03811999999999999,25
2021-02-24,266.3800048828125,258.3900146484375,262.3299865722656,264.30999755859375,15736100,0.059608695652173915,0.8893913043478258,0.05095652173913044,-0.02449130434782609,23
2021-02-25,266.94000244140625,254.0399932861328,262.29998779296875,254.69000244140625,19053100,0.030904761904761907,0.8654761904761905,0.10361904761904762,0.08716190476190476,21
2021-03-01,266.6499938964844,257.8999938964844,260.82000732421875,264.9100036621094,22157300,0.008625,0.9108125,0.08056250000000001,0.11321874999999999,16
2021-03-02,266.7099914550781,258.6499938964844,265.7799987792969,259.0,15191700,0.0654,0.8332999999999998,0.10129999999999999,-0.005909999999999993,10
2021-03-03,260.989990234375,255.10000610351562,260.2900085449219,255.41000366210938,15513500,0.08127777777777778,0.8511666666666666,0.06749999999999999,-0.027,18
2021-03-04,266.489990234375,253.5,256.4700012207031,257.6400146484375,31626500,0.05683333333333334,0.9431666666666666,0.0,-0.12251666666666666,6
2021-03-05,265.45001220703125,255.61000061035156,260.6700134277344,264.2799987792969,26820100,0.036416666666666674,0.7952500000000001,0.16833333333333333,0.20315833333333333,12
2021-03-08,265.5799865722656,255.0500030517578,265.54998779296875,255.30999755859375,18391800,0.05307692307692307,0.846,0.10092307692307692,0.08046153846153849,13
2021-03-09,268.5299987792969,259.80999755859375,261.17999267578125,265.739990234375,22039700,0.08944444444444444,0.8851666666666668,0.02538888888888889,-0.09442222222222223,18
2021-03-10,268.9700012207031,262.8699951171875,268.6400146484375,264.8999938964844,14210300,0.11642857142857144,0.8438095238095239,0.03976190476190476,-0.1214142857142857,21
2021-03-11,277.8999938964844,267.82000732421875,268.1099853515625,273.8800048828125,21834000,0.0,0.9046666666666666,0.09533333333333334,0.16065,12
2021-03-12,269.739990234375,264.0199890136719,269.1400146484375,268.3999938964844,20600200,0.017727272727272727,0.7941818181818181,0.1880909090909091,0.2883909090909091,11
2021-03-15,275.9599914550781,268.5,269.0799865722656,273.75,16844800,0.0424,0.87708,0.08056,0.04428,25
2021-03-16,282.1400146484375,274.79998779296875,276.0799865722656,279.2799987792969,22437700,0.10175000000000001,0.8501499999999999,0.04809999999999999,-0.10888500000000001,20
