,high,low,open,close,volume,neg,neu,pos,compound,references
2021-05-10,3283.0,3190.0,3282.320068359375,3190.489990234375,5838600,0.09334782608695653,0.7372608695652174,0.16930434782608697,0.07846086956521738,23
2021-05-11,3238.0,3127.3701171875,3136.280029296875,3223.909912109375,4619800,0.13483333333333333,0.657,0.20833333333333334,0.020083333333333325,6
2021-05-13,3203.840087890625,3133.0,3185.469970703125,3161.469970703125,3350900,0.03691666666666666,0.8060833333333332,0.157,0.17238333333333333,12
2021-05-14,3228.860107421875,3183.0,3185.56005859375,3222.89990234375,3325000,0.08784615384615384,0.7478461538461537,0.16434615384615384,0.11750769230769231,26
2021-05-17,3292.75,3234.590087890625,3245.929931640625,3270.389892578125,3723900,0.042147058823529406,0.7643823529411763,0.1934411764705882,0.20961176470588236,34
2021-05-18,3312.0,3230.3701171875,3292.580078125,3232.280029296875,2828400,0.0643529411764706,0.7930588235294118,0.14258823529411763,0.06192352941176472,17
2021-05-26,3295.72998046875,3258.510009765625,3274.590087890625,3265.159912109375,2384000,0.06545454545454546,0.7454242424242428,0.18909090909090903,0.19314242424242425,33
2021-05-27,3260.360107421875,3230.0400390625,3256.0,3230.110107421875,2561200,0.05151851851851852,0.7656296296296295,0.18285185185185185,0.16925185185185185,27
2021-05-28,3247.989990234375,3219.699951171875,3242.0,3223.070068359375,2329800,0.06642105263157895,0.757,0.17663157894736842,0.1458526315789474,19
2021-06-02,3235.0,3208.0,3223.10009765625,3233.989990234375,2014500,0.04456,0.72276,0.23260000000000003,0.25911600000000007,25
2021-06-03,3214.43994140625,3184.030029296875,3204.22998046875,3187.010009765625,2398300,0.03447619047619047,0.7670476190476189,0.19847619047619044,0.25428571428571434,21
2021-06-04,3221.0,3198.81005859375,3212.0,3206.219970703125,2249700,0.07443749999999999,0.8209062500000002,0.104625,0.013562500000000009,32
2021-06-07,3208.0,3172.199951171875,3197.330078125,3198.010009765625,2215800,0.06505714285714286,0.8079428571428572,0.127,0.09201714285714287,35
2021-06-10,3351.0,3281.14990234375,3282.010009765625,3349.64990234375,3476500,0.045799999999999993,0.7769999999999999,0.17720000000000002,0.1669,15
2021-06-11,3366.580078125,3333.449951171875,3349.64990234375,3346.830078125,2817400,0.01805263157894737,0.7990263157894738,0.1829210526315789,0.241078947368421,38
2021-06-14,3385.0,3335.5,3346.830078125,3383.8701171875,2569700,0.05210714285714286,0.8214642857142858,0.1264285714285714,0.09660000000000002,28
2021-06-15,3396.989990234375,3363.110107421875,3384.0,3383.1298828125,2426200,0.06977142857142857,0.7886285714285712,0.14162857142857144,0.0914685714285714,35
2021-06-21,3482.0,3434.0,3476.419921875,3453.9599609375,3277100,0.05908333333333334,0.7452291666666669,0.19560416666666666,0.19778124999999994,48
2021-06-22,3523.780029296875,3456.090087890625,3458.06005859375,3505.43994140625,3345100,0.0306,0.8406444444444444,0.12877777777777774,0.16684222222222223,45
2021-06-24,3524.860107421875,3430.85009765625,3507.639892578125,3449.080078125,3832000,0.045,0.736,0.219,0.1965,5
2021-06-25,3464.820068359375,3394.179931640625,3464.0,3401.4599609375,3941000,0.06321739130434782,0.7610869565217391,0.1757391304347826,0.1556913043478261,23
2021-06-28,3448.0,3413.510009765625,3416.0,3443.889892578125,2242800,0.03063636363636364,0.8601363636363636,0.10918181818181819,0.12881363636363638,22
2021-06-29,3456.030029296875,3423.030029296875,3438.820068359375,3448.139892578125,2098400,0.06128000000000001,0.72316,0.21556,0.26043600000000006,25
2021-06-30,3471.60009765625,3435.0,3441.06005859375,3440.159912109375,2404000,0.0,0.702,0.298,0.1779,1
2021-07-02,3511.719970703125,3436.919921875,3451.639892578125,3510.97998046875,3169400,0.0574090909090909,0.7993636363636365,0.14322727272727273,0.15356818181818185,22
2021-07-06,3685.47998046875,3529.0,3530.110107421875,3675.739990234375,6744800,0.059520833333333335,0.8133125,0.12716666666666668,0.10276041666666667,48
2021-07-09,3748.0,3693.39990234375,3722.52001953125,3719.340087890625,3748200,0.03229166666666666,0.7991666666666668,0.16854166666666667,0.2051125,24
2021-07-12,3757.2900390625,3696.7900390625,3744.0,3718.550048828125,2571600,0.0517741935483871,0.8138387096774194,0.13441935483870968,0.11069999999999999,31
2021-07-13,3773.080078125,3671.320068359375,3702.10009765625,3677.360107421875,3845900,0.02592592592592593,0.7818888888888887,0.19218518518518518,0.20353703703703707,27
2021-07-14,3717.659912109375,3660.830078125,3708.85009765625,3681.679931640625,3296600,0.03438709677419355,0.8092903225806451,0.1563548387096774,0.15553870967741937,31
2021-07-26,3712.080078125,3647.25,3673.169921875,3699.820068359375,2900100,0.04642307692307693,0.8115769230769231,0.14196153846153844,0.0983192307692308,26
2021-07-27,3698.5,3586.14990234375,3698.5,3626.389892578125,4131900,0.03997560975609756,0.8118048780487804,0.14824390243902436,0.14236097560975614,41
2021-07-28,3658.419921875,3601.0,3633.780029296875,3630.320068359375,2999400,0.023,0.8111999999999999,0.16579999999999998,0.21858400000000003,25
2021-07-29,3637.949951171875,3580.010009765625,3627.75,3599.919921875,5520000,0.091875,0.766125,0.14204999999999998,0.0564875,40
2021-07-30,3368.139892578125,3306.97998046875,3347.949951171875,3327.590087890625,9957100,0.0,0.769,0.231,0.34,1
2021-08-02,3358.919921875,3317.0,3353.10009765625,3331.47998046875,3353900,0.08736842105263158,0.7430526315789472,0.16963157894736838,0.10581578947368421,19
2021-08-03,3391.0,3299.77001953125,3340.719970703125,3366.239990234375,4157300,0.05284210526315789,0.7808421052631578,0.16636842105263158,0.16295263157894738,19
2021-08-04,3388.8798828125,3345.56005859375,3379.35009765625,3354.719970703125,2183900,0.0928,0.74244,0.16476,0.09242800000000001,25
2021-08-05,3389.0,3340.919921875,3356.219970703125,3375.989990234375,2433500,0.0426,0.8469499999999999,0.1105,0.083515,20
2021-08-06,3375.0,3329.0400390625,3375.0,3344.93994140625,2635300,0.04717391304347826,0.8045652173913043,0.14830434782608695,0.16829565217391304,23
2021-08-09,3354.8798828125,3328.52001953125,3343.610107421875,3341.8701171875,2148200,0.029434782608695653,0.8010434782608695,0.16952173913043475,0.1788347826086957,23
2021-08-10,3358.0,3315.0,3345.010009765625,3320.679931640625,2412600,0.06589473684210527,0.7461052631578946,0.18799999999999997,0.18063157894736842,19
2021-08-11,3337.699951171875,3277.7900390625,3331.449951171875,3292.110107421875,2947200,0.07845,0.78345,0.1381,0.08371500000000001,20
2021-08-12,3314.510009765625,3269.669921875,3290.0,3303.5,2314100,0.02896,0.7999200000000001,0.17112,0.21572000000000005,25
2021-08-13,3306.070068359375,3283.0,3305.669921875,3293.969970703125,2052800,0.029476190476190475,0.8356190476190477,0.13490476190476192,0.16014761904761907,21
2021-08-16,3300.0,3211.1298828125,3283.0,3298.989990234375,3319700,0.03183333333333333,0.8719444444444444,0.09622222222222224,0.11506666666666668,18
2021-08-17,3280.489990234375,3225.679931640625,3277.5,3241.9599609375,3387900,0.0685,0.7902777777777779,0.14111111111111108,0.12116666666666667,18
2021-08-18,3254.10009765625,3200.0,3241.989990234375,3201.219970703125,2804300,0.05394444444444445,0.8255,0.12055555555555555,0.11614444444444444,18
2021-08-19,3233.0,3182.4599609375,3194.02001953125,3187.75,3782900,0.022558823529411767,0.7926470588235294,0.18473529411764703,0.22624117647058828,34
2021-08-20,3207.81005859375,3175.760009765625,3203.8701171875,3199.949951171875,3341200,0.043277777777777776,0.8290555555555555,0.12766666666666668,0.10352222222222221,18
2021-08-23,3280.89990234375,3210.010009765625,3211.89990234375,3265.8701171875,3268100,0.013928571428571429,0.8175,0.16857142857142857,0.2363142857142857,14
2021-08-24,3315.489990234375,3274.580078125,3280.0,3305.780029296875,2551800,0.059352941176470594,0.8274117647058823,0.1131764705882353,0.07350588235294118,17
2021-08-25,3321.0,3286.14990234375,3309.8701171875,3299.179931640625,1680300,0.05817857142857143,0.7805357142857144,0.16132142857142856,0.1359,28
2021-08-26,3332.0,3296.0,3299.0,3316.0,2098800,0.0,0.9014285714285714,0.09857142857142856,0.16846428571428573,14
2021-08-27,3352.320068359375,3313.75,3333.22998046875,3349.6298828125,2391300,0.024714285714285713,0.7888571428571429,0.18642857142857144,0.2402142857142857,7
2021-08-31,3472.580078125,3395.590087890625,3424.800048828125,3470.7900390625,4356400,0.03514285714285714,0.8574285714285715,0.10742857142857144,0.06900714285714284,14
2021-09-01,3527.0,3475.239990234375,3496.39990234375,3479.0,3629900,0.055833333333333325,0.8113333333333335,0.1328571428571428,0.09539761904761905,42
2021-09-02,3511.9599609375,3455.0,3494.760009765625,3463.1201171875,2923700,0.06366666666666666,0.8022222222222225,0.1340740740740741,0.046622222222222225,27
2021-09-03,3482.669921875,3436.43994140625,3452.0,3478.050048828125,2575700,0.05421428571428571,0.7606428571428571,0.18514285714285714,0.1667857142857143,14
2021-09-07,3528.090087890625,3476.93994140625,3478.0,3509.2900390625,2737900,0.0,0.7535833333333333,0.24641666666666664,0.41369166666666674,12
2021-09-08,3545.6298828125,3495.669921875,3511.64990234375,3525.5,3053400,0.04807407407407407,0.8842962962962962,0.06766666666666667,0.013640740740740738,27
2021-09-09,3549.989990234375,3480.3701171875,3526.02001953125,3484.159912109375,2719200,0.026756756756756758,0.8054864864864865,0.16775675675675672,0.22498918918918925,37
